form	lemma	POS	morph
ཀ་	ཀ་	DET
རྟགས་	རྟགས་	NOUN
།		PUNCT
ཚན་གྲངས་	ཚན་གྲངས་	NO_POS
།		PUNCT
ལེ་ཚན་	ལེ་ཚན་	OTHER
སོ་སོ་	སོ་སོ་	PRON
འི་	གི་	PART
མཚན་	མཚན་	NOUN
།		PUNCT
རྩོམ་པ་པོ་	རྩོམ་པ་པོ་	NOUN
།		PUNCT
ཡིག་གཟུགས་	ཡིག་གཟུགས་	OTHER
།		PUNCT
ལྡེབ་	ལྡེབ་	NO_POS
གྲངས་	གྲངས་	NOUN
།		PUNCT
ལྡེབ་	ལྡེབ་	NO_POS
ཚད་	ཚད་	NOUN
།		PUNCT
		
ནང་	ནང་	NOUN
		
		
འདུལ་བ་	འདུལ་བ་	VERB
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
འི་	གི་	PART
དཀའ་གནད་	དཀའ་གནད་	NOUN
མདོར་བསྡུས་པ་	མདོར་བསྡུས་པ་	OTHER
ནོར་བུ་	ནོར་བུ་	NOUN
འི་	གི་	PART
ཕྲེང་བ་	ཕྲེང་བ་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
བཙུན་པ་	བཙུན་པ་	NOUN
དཀོན་མཆོག་	དཀོན་མཆོག་	NOUN
བསྟན་པ་	བསྟན་པ་	VERB
འི་	གི་	PART
སྒྲོན་མེ་	སྒྲོན་མེ་	NOUN
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
༑		PUNCT
		
ནང་	ནང་	NOUN
		
		
འདུལ་	འདུལ་	NO_POS
ཊིཀ་		NON_WORD
ཉི་མ་	ཉི་མ་	NOUN
འི་	གི་	PART
འོད་ཟེར་	འོད་ཟེར་	NOUN
ལེགས་བཤད་	ལེགས་བཤད་	NOUN
ལུང་རིགས་	ལུང་རིགས་	NOUN
ཀྱི་	གི་	PART
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
དགེ་སློང་	དགེ་སློང་	NOUN
མ་	མ་	PART
འི་	གི་	PART
རྣམ་འབྱེད་	རྣམ་འབྱེད་	NOUN
ཞུ་བ་	ཞུ་བ་	VERB
སྤྱི་		
བསྟན་	བསྟན་	VERB
གཞི་	གཞི་	NOUN
སྨད་	སྨད་	NOUN
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
ཀུན་མཁྱེན་	ཀུན་མཁྱེན་	OTHER
མཚོ་སྣ་	མཚོ་སྣ་	NO_POS
བ་ཤེ་	བ་ཤེ་	NO_POS
ས་	གིས་	PART
རབ་	རབ་	ADV
བཟང་པོ་	བཟང་པོ་	ADJ
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
འདུལ་བ་	འདུལ་བ་	VERB
མདོ་	མདོ་	NOUN
རྩ་བ་	རྩ་བ་	NOUN
འི་	གི་	PART
རྣམ་བཤད་	རྣམ་བཤད་	NOUN
ཉི་མ་	ཉི་མ་	NOUN
འི་	གི་	PART
འོད་ཟེར་	འོད་ཟེར་	NOUN
ལེགས་བཤད་	ལེགས་བཤད་	NOUN
ལུང་	ལུང་	NOUN
གི་	གི་	PART
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
ཀུན་	ཀུན་	DET
མཀྱེན་		NON_WORD
མཚོ་སྣ་	མཚོ་སྣ་	NO_POS
བ་ཤེ་	བ་ཤེ་	NO_POS
ས་	གིས་	PART
རབ་	རབ་	ADV
བཟང་པོ་	བཟང་པོ་	ADJ
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
འདུལ་	འདུལ་	NO_POS
ཊཱིཀ་		NON_WORD
ཉི་མ་	ཉི་མ་	NOUN
འི་	གི་	PART
འོད་ཟེར་	འོད་ཟེར་	NOUN
ལེགས་བཤད་	ལེགས་བཤད་	NOUN
ལུང་རིགས་	ལུང་རིགས་	NOUN
ཀྱི་	གི་	PART
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
དགེ་སློང་	དགེ་སློང་	NOUN
མ་	མ་	PART
འི་	གི་	PART
རྣམ་འབྱེད་	རྣམ་འབྱེད་	NOUN
ཞུ་བ་	ཞུ་བ་	VERB
སྤྱི་		
བསྟན་	བསྟན་	VERB
གཞི་	གཞི་	NOUN
སྨད་	སྨད་	NOUN
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
ཀུན་མཁྱེན་	ཀུན་མཁྱེན་	OTHER
མཚོ་སྣ་	མཚོ་སྣ་	NO_POS
བ་ཤེ་	བ་ཤེ་	NO_POS
ས་	གིས་	PART
རབ་	རབ་	ADV
བཟང་པོ་	བཟང་པོ་	ADJ
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
འདུལ་བ་	འདུལ་བ་	VERB
མདོ་	མདོ་	NOUN
རྩ་	རྩ་	NUM
འི་	གི་	PART
རྣམ་བཤད་	རྣམ་བཤད་	NOUN
ཉི་མ་	ཉི་མ་	NOUN
འི་	གི་	PART
འོད་ཟེར་	འོད་ཟེར་	NOUN
ལེགས་བཤད་	ལེགས་བཤད་	NOUN
ལུང་	ལུང་	NOUN
གི་	གི་	PART
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
མཚོ་སྣ་	མཚོ་སྣ་	NO_POS
བ་ཤེ་	བ་ཤེ་	NO_POS
ས་	གིས་	PART
རབ་	རབ་	ADV
བཟང་པོ་	བཟང་པོ་	ADJ
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ད་	ད་	ADV
		
ནང་	ནང་	NOUN
		
		
འདུལ་བ་	འདུལ་བ་	VERB
མདོ་	མདོ་	NOUN
རྩ་བ་	རྩ་བ་	NOUN
འི་	གི་	PART
མཆན་འགྲེལ་	མཆན་འགྲེལ་	NOUN
མཐོང་བ་	མཐོང་བ་	VERB
དོན་ལྡན་	དོན་ལྡན་	ADJ
ཅེས་བྱ་བ་	ཅེས་བྱ་བ་	NO_POS
ཀུན་མཁྱེན་པོ་	ཀུན་མཁྱེན་པོ་	OTHER
མཚོ་སྣ་	མཚོ་སྣ་	NO_POS
བ་	བ་	ADP
མཛད་པ་	མཛད་པ་	VERB
